Fire ball that came towards us, dimmed, then shot in opposite direction before dissapearing.;2006-10-25 21:00:00;5 minutes;Fire ball that came towards us, dimmed, then shot in opposite direction before dissapearing.;28.5259654888028;-81.3859872200964
Fire-Ball/Bolide Observed…;2007-07-19 01:40:00;2 - 3 Seconds;Fire-Ball / Bolide Observed... I was just down at my local store sitting outside having a coffee and suddenly saw a fireball / bolide streak across the sky from the South to the North. SIGHTING  :Fireball / Bolide  LOCATION  : Orlando, Florida  UTC TIME  : Approx. 0540  GMT  19 JULY 2007  LOCAL TIME: Approx. 0140     19 JULY 2007  VISIBILITY: 10 Miles  CEILING   : Unlimited  DURATION  : 2 - 3 Seconds   The fireball was initially WHITE then showed some YELLOW streaks, a couple of fast RED flashes, back to WHITE and then was gone. (The fireball was breaking up as these Flashes occurred.)    I was very fortunate to be looking in the perfect spot to see it when it occurred. ((NUFORC Note:  Witness elects to remain totally anonymous  provides no contact information.  PD));28.5259654888028;-81.3859872200964
MULITPLE ORANGE BALLS OF LIGHT WITNESSED IN ORLANDO, FLORIDA. 9 WITNESSES NO HOAX;2008-04-12 23:45:00;15-20 minutes;MULITPLE ORANGE BALLS OF LIGHT WITNESSED IN ORLANDO, FLORIDA. 9 WITNESSES NO HOAX At around aprox. 11:30p.m I was shooting pool at a pub about 2 miles from where I live when we received a phone call from a good friend that lives a block away from me told me to walk outside and that there were multiple orange balls of light in the sky. Me and the 2 other guys I was with shooting pool walked outside to the parking lot but failed to see anything and went back inside. We talked to Randy ( person who called us ) again after going back inside and he said they were more of them apearing and that some of them were hovering in the south. I was so anxious to see this that I jumped on my motorcycle without even paying my bar tab. When I got home I was finally able to see the bright orange balls in the sky. I ran inside to wake the rest of the family up and they too witnessed the orange balls of light. We must have witnessed up to 5 of the objects in the sky at once, sometimes they appeared to be hovering and then would move slowly from the west to the east coast ( cocoa beach florida )up to 20 of them were witnessed. The new ones would come as if someone turned on a light in the sky and once they got far on the east coast out of are atmosphere they apeared to turn light blue almost like a star but continued to fly in mysterious patterns. I called the police to see if there were any other reports of strange orange balls of light in the sky or if the military was testing and they had no answer but yet after talking to my friend Randy that called me he said before I got home from the pub he and his wife and kid witnessed military jets chasing the balls of light. My friend was able to get a couple still frame photos and are in possetion right now. I am really lost for words I have never seen anything like that in my life and I am even a pyrotechnic. Please let me know if you need anymore details, Thanks.  Matt;28.5259654888028;-81.3859872200964
Bright orange/red half-moon looking object with what looked like a wavy flame tail.;2008-04-14 03:20:00;2 - 4 mins;Bright orange/red half-moon looking object with what looked like a wavy flame tail. it was around 3:20am me and my Friend who was out picking up some donuts, going down the road next to our house. heading north. when we got down to the road we needed to turn at head to the donut shop, about 100 - 75Ft i saw over the tree tops a orange half-moon shape object in the sky, at first when i saw it i tough it was a half-blood moon. but when i saw it. it looked like it was about two - two and a half time lager than the moon we see in the night sky. it was a very bight orange. it only got to see it for about 2 - 3 secs until we turned down t the road,i told my Friend (who was the one driving) he wanted to see it but it was a bit to late at the moment. then when we turned to the road going to the shop, for about 3 - 4 Min's ride to the shop. i saw it a few more time over the north west area where i seen it the first time, by the time i seen it the 3rd time, it didn't look like no blood moon to me, it looked more like a huge fire ball. where i saw some wave coming from the back of it. and every time i saw it i told my Friend to look but he was always to late to see it. and he really wanted to see it. so after we got our donuts, came back. i was looking over there again to the north west area heading home on the sane. path it was around 3:35. and it wasn't there by the time we got back home i tough to myself, that couldn't been the moon since the moon can not go around the earth that fast with in such a small time frame, then i realized that was the north west area, and the moon cant go over in that are since the moon raises from the east and sets into the west. it was strange. when i did see it. it looks like it was slowly moving downwards to the earth, with the naked it it looked about a good 100 - 150ft big. might of been bigger. so i started to looking more into this, and i couldn't really explain what it was. all i know was it was a huge flame looking thing in the sky.;28.5259654888028;-81.3859872200964
On the 4th of July around 9:30 pm, me and my son saw a ball of light moving west across the sky at steady pace , which seemed slow, but;2010-07-04 21:30:00;3-4minutes;On the 4th of July around 9:30 pm, me and my son saw a ball of light moving west across the sky at steady pace, which seemed slow, but when an airplane flew under it  I new  t had to be at high altitude.  It flew directly over the international airport in south Orlando.   I wondered about it for weeks not hearing anything about it, until I saw a video on YouTube from China showing a ball flying over an airport on the same night, now I been seeing dozens of reports, so cool, but I feel different now when I go outside and look at the sky.;28.5259654888028;-81.3859872200964
Bright Object - Large White Fiery Ball with Bright Green Trail Fell to Earth;2011-08-11 22:35:00;3 seconds;Bright Object - Large White Fiery Ball with Bright Green Trail Fell to Earth Tonight, August 11, 2011, approximately 10:35 pm, I saw a very large what I believe might be a meteor crash to earth.  The only difference is the color, I’ve seen a minimum of 6 meteors and all were fiery red with a red trail.  The ball on this one was extremely bright white with a beautiful bright green trail.  It only appeared for 2 to 3 seconds.  It was heading in a westerly direction towards Orlando International Airport in the Lake Nona/Moss Park area in Orlando, Florida.  It was amazing and very large.;28.5259654888028;-81.3859872200964
Thanksgiving Evening shortly after dark, there was orange fireballs one after another, 7 in total, appearing mid skyline and traveling;2011-11-24 18:00:00;10 minutes;Thanksgiving Evening shortly after dark, there was orange fireballs one after another, 7 in total, appearing mid skyline and traveling straight up into the sky until they disappeared into the atmosphere. My entire family saw the event.  I'm not a believer, but this was undeniable occurrence.  The first one we saw went up and split into two and traveled into space at the same rate.  The next five were all in a single file line appearing in the same area. It looked like the fire trail from a Space Shuttle launch at night.;28.5259654888028;-81.3859872200964
Red-Orange fireball passing over Orlando on Dec 30th 2011;2011-12-30 19:00:00;5 min.;Red-Orange fireball passing over Orlando on Dec 30th 2011 On Dec. 30th 2011 at around 7pm in Orlando, FL. I spotted a bright round reddish-orange fireball around magnitude -15 about 1/3 the dia. of the moon traveling north at about 2,000 ft and 200 mph. It stayed the same size, brightness and shape, the outer edges looked like it was flickering like a fire. I first thought it was a jet on fire and called my wife and daughter out to see it. After watching it for a minute we reallized there was no sound, smoke or trail coming off of it. We got out two binoculars and could not see any more detail, we watched it for about four to five minutes heading north toward sanford slowly getting dimmer and finally disapearing into a cloudbank. We saw several Jets nearby making thier final approach into OIA Airport and could easly tell it looked quit a bit larger and was traveling opposite of the approach path. We are advide astronomers and astrophotographers and we have never seen anything like this, we know what Iridium flares and such looks like. It was by far the best thing we have ever seen!;28.5259654888028;-81.3859872200964
I was watching tv at 7:30 pm when out of the right corner of my eye I saw a bright flash of light, it burned so bright but then dissipa;2012-01-21 19:30:00;Just over an hour;I was watching tv at 7:30 pm when out of the right corner of my eye I saw a bright flash of light, it burned so bright but then dissipated in to what I can only say was compleat blackness. I was watching this do it for a good 20 mins before I called my girlfriend who lives about 40 mins drive away to look up and see if she could see anything?  Well sure enough her and her daughter both saw a huge bright around 8 pm.  And it looked like a ball that is flying or burning with flames in blue orange and white, I thought it might be a planet being obstructed by clouds but after I see no clouds it has me wondering what it really was!  This went on for just over an hour and the flashing was irregular. I do have it recorded on camcorder but it's not very clear :(  although u can see the light go from bright to dim.  I looked tonight if I can see it again but nothing yet lol. ;28.5259654888028;-81.3859872200964
2 Fire Balls Flying In The Sky;2012-03-02 23:00:00;2 minutes;2 Fire Balls Flying In The Sky We had family at home visiting from NJ on this night we had all gone out and when we returned home we let our dogs out to go potty at this time my husband pointed to the sky and showed me two fire balls flying relatively low and slow moving one following the other, our visitors witnessed the sighting along with us and we were puzzle not knowing what it was,  I decided to google the insident and found this website, I'm glad to know other people have seen this and we all must give awareness of what is out there, personally after the incident I felt very scared of he unknown.;28.5259654888028;-81.3859872200964
Orange orbs flying over Orlando;2012-03-10 23:00:00;15 minutes;orange orbs flying over Orlando I was standing outside with some friends and their parents and happen to see 2 lights flying accross the sky at a slow speed.  They looked like orange orbs. We watched them fly over a few minutes then they disappeared.  A couple minutes later another one came out over the trees, following the same path, then another.  The last one was the strangest one though. It was changing altitudes. It started coming down, then it started going up and started moving at a faster speed.  We followed it in the sky until it flickered out.  I tried taking a picture but it was too dark and the street lights were on.;28.5259654888028;-81.3859872200964
